Tiempo,Potencia,Aceleracion,Torque
1,11.7772000635,6.2120867915,91.89707814
2,15.2075733007,7.4550984244,93.5924128916
4,18.0017233738,8.6924146409,91.6894879
5,18.5589319688,9.0022059166,92.8164961343
6,20.6229654683,10.1324028261,93.36083365
7,22.1230875549,12.0045349698,93.2971325214
8,25.652782235,13.5043040342,93.170652662
9,26.7570163231,18.3609059349,95.091877031
10,29.7911001576,22.1890791403,94.6666175124
11,30.0363271932,23.2656821198,94.7060653923
12,32.1947170808,25.968845652,94.9460605069
13,35.7928577436,30.743459463,94.8768869853
14,38.2920147833,34.3927386622,94.8706299096
15,44.9111199168,39.1777385444,93.5232515932
